ordinal,name,method,height,width,time_sec,clip,prompt
0,img_0000000,bicubic_x2,2048,2048,0.0010253569926135242,0.4295552968978882,"airplane hangar, featuring a golden retriever, cinematic film still, neon reflections, close-up framing, 35mm lens, high contrast colors, lived-in atmosphere, fine textures, highly detailed, coherent composition, clean image, no watermark, no text"
0,img_0000000,LUA_x2_to_2048,2048,2048,0.6095602800196502,0.42999565601348877,"airplane hangar, featuring a golden retriever, cinematic film still, neon reflections, close-up framing, 35mm lens, high contrast colors, lived-in atmosphere, fine textures, highly detailed, coherent composition, clean image, no watermark, no text"
0,img_0000000,RF_f3_one_step_x2,2048,2048,1.5641665479924995,0.42729151248931885,"airplane hangar, featuring a golden retriever, cinematic film still, neon reflections, close-up framing, 35mm lens, high contrast colors, lived-in atmosphere, fine textures, highly detailed, coherent composition, clean image, no watermark, no text"
1,img_0000001,bicubic_x2,2048,2048,6.621499778702855e-05,0.31598755717277527,"industrial warehouse interior, featuring a dancer, editorial photography, neon reflections, wide composition, 85mm lens, cool blue-green palette, tense atmosphere, complex background detail, highly detailed, coherent composition, clean image, no watermark, no text"
1,img_0000001,LUA_x2_to_2048,2048,2048,0.8384143149887677,0.31639206409454346,"industrial warehouse interior, featuring a dancer, editorial photography, neon reflections, wide composition, 85mm lens, cool blue-green palette, tense atmosphere, complex background detail, highly detailed, coherent composition, clean image, no watermark, no text"
1,img_0000001,RF_f3_one_step_x2,2048,2048,1.289846326020779,0.3112013041973114,"industrial warehouse interior, featuring a dancer, editorial photography, neon reflections, wide composition, 85mm lens, cool blue-green palette, tense atmosphere, complex background detail, highly detailed, coherent composition, clean image, no watermark, no text"
2,img_0000002,bicubic_x2,2048,2048,4.156498471274972e-05,0.3256440758705139,"fashion editorial portrait setup, featuring a family, cinematic film still, neon reflections, high-angle shot, 70mm lens, soft pastel colors, lived-in atmosphere, subtle depth of field, highly detailed, coherent composition, clean image, no watermark, no text"
2,img_0000002,LUA_x2_to_2048,2048,2048,0.8167267680109944,0.3270179033279419,"fashion editorial portrait setup, featuring a family, cinematic film still, neon reflections, high-angle shot, 70mm lens, soft pastel colors, lived-in atmosphere, subtle depth of field, highly detailed, coherent composition, clean image, no watermark, no text"
2,img_0000002,RF_f3_one_step_x2,2048,2048,1.2963553449953906,0.3268219232559204,"fashion editorial portrait setup, featuring a family, cinematic film still, neon reflections, high-angle shot, 70mm lens, soft pastel colors, lived-in atmosphere, subtle depth of field, highly detailed, coherent composition, clean image, no watermark, no text"
3,img_0000003,bicubic_x2,2048,2048,4.9457012210041285e-05,0.3468371629714966,"underwater reef scene, featuring a surfer, stylized but realistic, golden hour light, wide composition, 24mm lens, natural colors, lived-in atmosphere, crisp edges, highly detailed, coherent composition, clean image, no watermark, no text"
3,img_0000003,LUA_x2_to_2048,2048,2048,0.8217471649986692,0.3476441204547882,"underwater reef scene, featuring a surfer, stylized but realistic, golden hour light, wide composition, 24mm lens, natural colors, lived-in atmosphere, crisp edges, highly detailed, coherent composition, clean image, no watermark, no text"
3,img_0000003,RF_f3_one_step_x2,2048,2048,1.2914151959994342,0.34667032957077026,"underwater reef scene, featuring a surfer, stylized but realistic, golden hour light, wide composition, 24mm lens, natural colors, lived-in atmosphere, crisp edges, highly detailed, coherent composition, clean image, no watermark, no text"
4,img_0000004,bicubic_x2,2048,2048,3.960900357924402e-05,0.3572140038013458,"sunlit coastal village, featuring a vintage car, editorial photography, harsh midday sun, low-angle shot, 70mm lens, high contrast colors, nostalgic atmosphere, fine textures, highly detailed, coherent composition, clean image, no watermark, no text"
4,img_0000004,LUA_x2_to_2048,2048,2048,0.8302624100178946,0.35878419876098633,"sunlit coastal village, featuring a vintage car, editorial photography, harsh midday sun, low-angle shot, 70mm lens, high contrast colors, nostalgic atmosphere, fine textures, highly detailed, coherent composition, clean image, no watermark, no text"
4,img_0000004,RF_f3_one_step_x2,2048,2048,1.28752953701769,0.3583097457885742,"sunlit coastal village, featuring a vintage car, editorial photography, harsh midday sun, low-angle shot, 70mm lens, high contrast colors, nostalgic atmosphere, fine textures, highly detailed, coherent composition, clean image, no watermark, no text"
5,img_0000005,bicubic_x2,2048,2048,4.843602073378861e-05,0.35265669226646423,"snowy forest trail, featuring a vintage car, cinematic film still, bright studio lighting, medium shot, 24mm lens, cool blue-green palette, clean modern atmosphere, subtle depth of field, highly detailed, coherent composition, clean image, no watermark, no text"
5,img_0000005,LUA_x2_to_2048,2048,2048,0.8383074129815213,0.35440945625305176,"snowy forest trail, featuring a vintage car, cinematic film still, bright studio lighting, medium shot, 24mm lens, cool blue-green palette, clean modern atmosphere, subtle depth of field, highly detailed, coherent composition, clean image, no watermark, no text"
5,img_0000005,RF_f3_one_step_x2,2048,2048,1.2831699530070182,0.35337722301483154,"snowy forest trail, featuring a vintage car, cinematic film still, bright studio lighting, medium shot, 24mm lens, cool blue-green palette, clean modern atmosphere, subtle depth of field, highly detailed, coherent composition, clean image, no watermark, no text"
6,img_0000006,bicubic_x2,2048,2048,3.865797771140933e-05,0.36416637897491455,"open-air market, featuring a horse, editorial photography, dramatic rim light, high-angle shot, 50mm lens, natural colors, nostalgic atmosphere, subtle depth of field, highly detailed, coherent composition, clean image, no watermark, no text"
6,img_0000006,LUA_x2_to_2048,2048,2048,0.815609596989816,0.36386194825172424,"open-air market, featuring a horse, editorial photography, dramatic rim light, high-angle shot, 50mm lens, natural colors, nostalgic atmosphere, subtle depth of field, highly detailed, coherent composition, clean image, no watermark, no text"
6,img_0000006,RF_f3_one_step_x2,2048,2048,1.2901823579741176,0.36506086587905884,"open-air market, featuring a horse, editorial photography, dramatic rim light, high-angle shot, 50mm lens, natural colors, nostalgic atmosphere, subtle depth of field, highly detailed, coherent composition, clean image, no watermark, no text"
7,img_0000007,bicubic_x2,2048,2048,4.681100836023688e-05,0.3359852135181427,"quiet mountain landscape, featuring a bouquet of flowers, fine-art photography, harsh midday sun, wide composition, 50mm lens, high contrast colors, calm atmosphere, crisp edges, highly detailed, coherent composition, clean image, no watermark, no text"
7,img_0000007,LUA_x2_to_2048,2048,2048,0.8159107539977413,0.33420467376708984,"quiet mountain landscape, featuring a bouquet of flowers, fine-art photography, harsh midday sun, wide composition, 50mm lens, high contrast colors, calm atmosphere, crisp edges, highly detailed, coherent composition, clean image, no watermark, no text"
7,img_0000007,RF_f3_one_step_x2,2048,2048,1.2925661870103795,0.33872637152671814,"quiet mountain landscape, featuring a bouquet of flowers, fine-art photography, harsh midday sun, wide composition, 50mm lens, high contrast colors, calm atmosphere, crisp edges, highly detailed, coherent composition, clean image, no watermark, no text"
8,img_0000008,bicubic_x2,2048,2048,3.9260019548237324e-05,0.3492509126663208,"industrial warehouse interior, featuring a family, photorealistic, soft window light, low-angle shot, 50mm lens, cool blue-green palette, nostalgic atmosphere, subtle depth of field, highly detailed, coherent composition, clean image, no watermark, no text"
